Gene	Mycoplasma_meleagridis_210	Mycoplasma_meleagridis_24B8	Mycoplasma_meleagridis_25A3	Mycoplasma_meleagridis_25A4	Mycoplasma_meleagridis_26	Mycoplasma_meleagridis_26B8	Mycoplasma_meleagridis_26B9	Mycoplasma_meleagridis_ATCCC	Mycoplasma_meleagridis_B870
recD_1	0	1	0	0	1	1	1	1	1
recD_2	0	1	0	0	1	1	1	1	1
group_1777	0	1	0	0	1	1	1	1	1
group_1778	0	1	0	0	1	1	1	1	1
dnaA	0	1	0	0	1	1	1	1	1
dnaN	0	1	0	0	1	1	1	1	1
yaaA	0	1	0	0	1	1	1	1	1
asnA_1	0	1	0	0	1	1	1	1	1
asnA_2	0	1	0	0	1	1	1	1	1
group_1784	0	1	0	0	1	1	1	1	1
group_1785	0	1	0	0	1	1	1	1	1
group_1786	0	1	0	0	1	1	1	1	1
yidC_1	0	1	0	0	1	1	1	1	1
yidC_3	0	1	0	0	1	1	1	1	1
rpmH	0	1	0	0	1	1	1	1	1
group_1790	0	1	0	0	1	1	1	1	1
group_1791	0	1	0	0	1	1	1	1	1
trmA	0	1	0	0	1	1	1	1	1
group_1794	0	1	0	0	1	1	1	1	1
group_1795	0	1	0	0	1	1	1	1	1
group_1796	0	1	0	0	1	1	1	1	1
group_1797	0	1	0	0	1	1	1	1	1
group_1798	0	1	0	0	1	1	1	1	1
group_1799	0	1	0	0	1	1	1	1	1
group_1800	0	1	0	0	1	1	1	1	1
group_1801	0	1	0	0	1	1	1	1	1
group_1802	0	1	0	0	1	1	1	1	1
nusA_1	0	1	0	0	1	1	1	1	1
nusA_2	0	1	0	0	1	1	1	1	1
group_1805	0	1	0	0	1	1	1	1	1
tet32	0	1	0	0	1	1	1	1	1
apt	0	1	0	0	1	1	1	1	1
group_1808	0	1	0	0	1	1	1	1	1
group_1809	0	1	0	0	1	1	1	1	1
group_1810	0	1	0	0	1	1	1	1	1
group_1811	0	1	0	0	1	1	1	1	1
sunT	0	1	0	0	1	1	1	1	1
group_1813	0	1	0	0	1	1	1	1	1
group_1814	0	1	0	0	1	1	1	1	1
group_1815	0	1	0	0	1	1	1	1	1
cdd	0	1	0	0	1	1	1	1	1
era	0	1	0	0	1	1	1	1	1
pepP_1	0	1	0	0	1	1	1	1	1
